t,theta,omega,drive_force_c
31.720000000000002,-2.498866230155935,0.5104079911033989,0.9444444444444444
31.73,-2.493688392745853,0.5251603875606193,0.9444444444444444
31.740000000000002,-2.4883630048349343,0.5399181021540729,0.9444444444444444
31.75,-2.4828900126006235,0.5546812383119615,0.9444444444444444
31.76,-2.4772693614457837,0.5694498863510502,0.9444444444444444
31.77,-2.471500995998717,0.5842241234766254,0.9444444444444444
31.78,-2.4655848601131454,0.5990040137825365,0.9444444444444444
31.79,-2.459520896868492,0.6137896082501227,0.9444444444444444
31.8,-2.4533090490413816,0.6285809428128963,0.9444444444444444
31.810000000000002,-2.446949259019762,0.6433780384879922,0.9444444444444444
31.82,-2.440441468998875,0.658180900914024,0.9444444444444444
31.830000000000002,-2.433785621463521,0.6729895185445299,0.9444444444444444
31.84,-2.4269816591880726,0.687803862647936,0.9444444444444444
31.85,-2.4200295252364574,0.7026238873075987,0.9444444444444444
31.86,-2.412929162962177,0.7174495294217622,0.9444444444444444
31.87,-2.4056805165095643,0.7322807068565164,0.9444444444444444
31.88,-2.39828353100802,0.7471173175699493,0.9444444444444444
31.89,-2.390738152450081,0.7619592402781221,0.9444444444444444
31.900000000000002,-2.383044328521643,0.7768063315697967,0.9444444444444444
31.91,-2.3752020086079573,0.7916584258849716,0.9444444444444444
31.92,-2.3672111437936185,0.8065153355148968,0.9444444444444444
31.93,-2.3590716868625865,0.821376850602038,0.9444444444444444
31.94,-2.35078359262152,0.8362427380727865,0.9444444444444444
31.95,-2.342346818816476,0.8511127385075622,0.9444444444444444
31.96,-2.333761325273719,0.865986569051781,0.9444444444444444
31.970000000000002,-2.3250270752397113,0.8808639191846834,0.9444444444444444
31.98,-2.3161440355005922,0.8957444503324957,0.9444444444444444
31.990000000000002,-2.3071121763821663,0.9106277958684443,0.9444444444444444
32.0,-2.2979314717499264,0.9255135611127199,0.9444444444444444
32.01,-2.2886018990438552,0.9404013232307635,0.9444444444444444
32.02,-2.2791234407596614,0.9552906268494292,0.9444444444444444
32.03,-2.269496083521916,0.9701809867065216,0.9444444444444444
32.04,-2.259719819034239,0.9850718850665903,0.9444444444444444
32.05,-2.249794644905896,0.9999627693392483,0.9444444444444444
32.06,-2.2397205646517784,1.0148530520791939,0.9444444444444444
32.07,-2.2294975876924363,1.0297421109861673,0.9444444444444444
32.08,-2.2191257293540345,1.0446292889050155,0.9444444444444444
32.09,-2.2086050112862377,1.0595138927597265,0.9444444444444444
32.1,-2.197935463338604,1.07439518867116,0.9444444444444444
32.11,-2.1871171216393868,1.0892724068824926,0.9444444444444444
32.12,-2.1761500308685733,1.1041447361520595,0.9444444444444444
32.13,-2.165034244601805,1.119011322887595,0.9444444444444444
32.14,-2.15376982531041,1.133871271146191,0.9444444444444444
32.15,-2.1423568443613554,1.1487236426343588,0.9444444444444444
32.160000000000004,-2.130795382017272,1.1635674567079992,0.9444444444444444
32.17,-2.119085528261629,1.1784016886191218,0.9444444444444444
32.18,-2.1072273848409417,1.1932252649913213,0.9444444444444444
32.19,-2.095221062838355,1.208037069025422,0.9444444444444444
32.2,-2.083066685675194,1.2228359343875301,0.9444444444444444
32.21,-2.0707643893637,1.2376206446822058,0.9444444444444444
32.22,-2.058314322506974,1.2523899334525272,0.9444444444444444
32.230000000000004,-2.0457166462990064,1.2671424841800587,0.9444444444444444
32.24,-2.0329715345247013,1.2818769302848187,0.9444444444444444
32.25,-2.0200791742038318,1.29659185408416,0.9444444444444444
32.26,-2.0070397687916546,1.3112857812949754,0.9444444444444444
32.27,-1.993853534672139,1.3259571865942568,0.9444444444444444
32.28,-1.980520704616921,1.3406044885412949,0.9444444444444444
32.29,-1.967041528393868,1.3552260486304208,0.9444444444444444
32.3,-1.9534162727671174,1.3698201712909661,0.9444444444444444
32.31,-1.939645221497057,1.3843851038872814,0.9444444444444444
32.32,-1.9257286753403642,1.3989190367186966,0.9444444444444444
32.33,-1.9116669521555796,1.4134201029156082,0.9444444444444444
